segment_id,label,word_count,is_silence,has_text
0,explain,14,0,1
1,write,1,0,1
2,explain,6,0,1
3,out,5,0,1
4,explain,11,0,1
5,write,23,0,1
6,explain,1,0,1
7,out,8,0,1
8,explain,6,0,1
9,out,7,0,1
10,explain,1,0,1
11,write,4,0,1
12,explain,1,0,1
13,out,7,0,1
14,explain,7,0,1
15,out,3,0,1
16,explain,7,0,1
17,write,33,0,1
18,explain,2,0,1
19,out,18,0,1
20,explain,16,0,1
21,out,4,0,1
22,explain,5,0,1
23,write,3,0,1
24,explain,0,1,0
25,out,4,0,1
26,explain,8,0,1
27,write,13,0,1
28,explain,0,1,0
29,change,9,0,1
30,explain,40,0,1
31,write,20,0,1
32,explain,10,0,1
33,write,35,0,1
34,explain,15,0,1
35,write,6,0,1
36,explain,9,0,1
37,write,12,0,1
38,explain,30,0,1
39,out,7,0,1
40,explain,47,0,1
41,out,10,0,1
42,pick_eraser,5,0,1
43,erase,6,0,1
44,drop_eraser,1,0,1
45,out,0,1,0
46,explain,2,0,1
47,out,8,0,1
48,explain,3,0,1
49,write,15,0,1
50,explain,16,0,1
51,write,7,0,1
52,explain,5,0,1
53,write,0,1,0
54,explain,0,1,0
55,out,11,0,1
56,explain,3,0,1
57,write,18,0,1
58,explain,0,1,0
59,out,13,0,1
60,explain,10,0,1
61,write,14,0,1
62,out,13,0,1
63,explain,6,0,1
64,out,8,0,1
65,explain,5,0,1
66,write,1,0,1
67,explain,6,0,1
68,write,4,0,1
69,explain,5,0,1
70,out,8,0,1
71,explain,8,0,1
72,write,28,0,1
73,explain,12,0,1
74,erase,8,0,1
75,explain,5,0,1
76,write,9,0,1
77,explain,0,1,0
78,out,16,0,1
79,explain,6,0,1
80,out,8,0,1
81,explain,5,0,1
82,out,4,0,1
83,explain,27,0,1
84,out,9,0,1
85,explain,2,0,1
86,out,10,0,1
87,explain,2,0,1
88,pick_eraser,3,0,1
89,erase,19,0,1
90,drop_eraser,3,0,1
91,explain,1,0,1
92,out,3,0,1
93,explain,1,0,1
94,write,7,0,1
95,explain,8,0,1
96,out,2,0,1
97,explain,4,0,1
98,write,52,0,1
99,explain,6,0,1
100,write,5,0,1
101,explain,2,0,1
102,change,9,0,1
103,explain,2,0,1
104,write,14,0,1
105,explain,44,0,1
106,write,4,0,1
107,explain,24,0,1
108,write,22,0,1
109,explain,42,0,1
110,out,6,0,1
111,explain,6,0,1
112,pick_eraser,2,0,1
113,explain,7,0,1
114,erase,7,0,1
115,out,0,1,0
116,drop_eraser,0,1,0
117,out,1,0,1
118,explain,5,0,1
119,write,5,0,1
120,explain,0,1,0
121,out,4,0,1
122,explain,6,0,1
123,write,32,0,1
124,explain,2,0,1
125,out,5,0,1
126,explain,1,0,1
127,erase,2,0,1
128,explain,8,0,1
129,write,14,0,1
130,explain,1,0,1
131,out,10,0,1
132,explain,72,0,1
133,out,5,0,1
134,explain,2,0,1
135,out,4,0,1
136,explain,2,0,1
137,out,4,0,1
138,explain,7,0,1
139,write,19,0,1
140,explain,5,0,1
141,out,16,0,1
142,explain,5,0,1
143,out,1,0,1
144,explain,3,0,1
145,write,11,0,1
146,explain,2,0,1
147,out,8,0,1
148,explain,2,0,1
149,out,3,0,1
150,explain,4,0,1
151,out,2,0,1
152,explain,12,0,1
153,out,4,0,1
154,explain,6,0,1
155,write,8,0,1
156,explain,2,0,1
157,out,9,0,1
158,explain,14,0,1
159,out,2,0,1
160,explain,13,0,1
161,out,5,0,1
162,explain,7,0,1
163,out,3,0,1
164,explain,16,0,1
165,write,9,0,1
166,explain,3,0,1
167,out,15,0,1
168,explain,4,0,1
169,out,10,0,1
170,explain,32,0,1
171,out,8,0,1
172,explain,14,0,1
173,out,11,0,1
174,explain,15,0,1
175,out,3,0,1
176,explain,12,0,1
177,out,4,0,1
178,explain,4,0,1
179,out,4,0,1
180,explain,2,0,1
181,out,6,0,1
182,explain,3,0,1
183,pick_eraser,6,0,1
184,erase,11,0,1
185,drop_eraser,3,0,1
186,out,7,0,1
187,explain,3,0,1
188,write,15,0,1
189,explain,0,1,0
190,out,23,0,1
191,pick_eraser,8,0,1
192,erase,8,0,1
193,explain,0,1,0
194,erase,0,1,0
195,drop_eraser,0,1,0
196,explain,0,1,0
197,video_switch,0,1,0
198,explain,0,1,0
199,out,0,1,0
200,explain,4,0,1
201,write,9,0,1
