segment_id,start_frame,end_frame,start_time_ms,end_time_ms,start_time_sec,end_time_sec,duration_sec,label
0,0,251,0.00,8408.41,0.000,8.408,8.408,explain
1,252,700,8408.41,23390.06,8.408,23.390,14.982,write
2,701,717,23390.06,23957.29,23.390,23.957,0.567,explain
3,718,727,23957.29,24290.96,23.957,24.291,0.334,explain
4,728,795,24290.96,26559.89,24.291,26.560,2.269,out
5,796,878,26559.89,29329.33,26.560,29.329,2.769,explain
6,879,988,29329.33,32999.67,29.329,33.000,3.670,write
7,989,1001,32999.67,33433.43,33.000,33.433,0.434,explain
8,1002,1011,33433.43,33767.10,33.433,33.767,0.334,explain
9,1012,1150,33767.10,38405.07,33.767,38.405,4.638,change
10,1151,1196,38405.07,39939.94,38.405,39.940,1.535,explain
11,1197,1200,39939.94,40073.41,39.940,40.073,0.133,write
12,1201,1449,40073.41,48381.72,40.073,48.382,8.308,write
13,1450,1480,48381.72,49416.08,48.382,49.416,1.034,write
14,1481,1513,49416.08,50517.18,49.416,50.517,1.101,write
15,1514,1517,50517.18,50650.65,50.517,50.651,0.133,explain
16,1518,1557,50650.65,51985.32,50.651,51.985,1.335,explain
17,1558,1660,51985.32,55422.09,51.985,55.422,3.437,out
18,1661,1733,55422.09,57857.86,55.422,57.858,2.436,explain
19,1734,1986,57857.86,66299.63,57.858,66.300,8.442,write
20,1987,2004,66299.63,66900.23,66.300,66.900,0.601,explain
21,2005,2209,66900.23,73740.41,66.900,73.740,6.840,out
22,2210,2291,73740.41,76476.48,73.740,76.476,2.736,explain
23,2292,2402,76476.48,80180.18,76.476,80.180,3.704,out
24,2403,2452,80180.18,81848.52,80.180,81.849,1.668,explain
25,2453,2717,81848.52,90690.69,81.849,90.691,8.842,write
26,2718,2748,90690.69,91725.06,90.691,91.725,1.034,explain
27,2749,2756,91725.06,91991.99,91.725,91.992,0.267,out
28,2757,2757,91991.99,92025.36,91.992,92.025,0.033,out
29,2758,2791,92025.36,93159.83,92.025,93.160,1.134,explain
30,2792,2813,93159.83,93893.89,93.160,93.894,0.734,out
31,2814,3057,93893.89,102035.37,93.894,102.035,8.141,out
32,3058,3067,102035.37,102369.04,102.035,102.369,0.334,out
33,3068,3127,102369.04,104371.04,102.369,104.371,2.002,explain
34,3128,3177,104371.04,106039.37,104.371,106.039,1.668,write
35,3178,3226,106039.37,107674.34,106.039,107.674,1.635,explain
36,3227,3313,107674.34,110577.24,107.674,110.577,2.903,out
37,3314,3367,110577.24,112379.05,110.577,112.379,1.802,explain
38,3368,4182,112379.05,139572.91,112.379,139.573,27.194,write
39,4183,4266,139572.91,142375.71,139.573,142.376,2.803,explain
40,4267,4302,142375.71,143576.91,142.376,143.577,1.201,out
41,4303,4312,143576.91,143910.58,143.577,143.911,0.334,pick_eraser
42,4313,4413,143910.58,147280.61,143.911,147.281,3.370,erase
43,4414,4466,147280.61,149049.05,147.281,149.049,1.768,drop_eraser
44,4467,4495,149049.05,150016.68,149.049,150.017,0.968,out
45,4496,4656,150016.68,155388.72,150.017,155.389,5.372,explain
46,4657,4769,155388.72,159159.16,155.389,159.159,3.770,out
47,4770,4880,159159.16,162862.86,159.159,162.863,3.704,explain
48,4881,5112,162862.86,170603.94,162.863,170.604,7.741,out
49,5113,5286,170603.94,176409.74,170.604,176.410,5.806,explain
50,5287,5332,176409.74,177944.61,176.410,177.945,1.535,out
51,5333,5432,177944.61,181281.28,177.945,181.281,3.337,explain
52,5433,5483,181281.28,182982.98,181.281,182.983,1.702,out
53,5484,5615,182982.98,187387.39,182.983,187.387,4.404,explain
54,5616,5658,187387.39,188822.16,187.387,188.822,1.435,write
55,5659,5731,188822.16,191257.92,188.822,191.258,2.436,explain
56,5732,5777,191257.92,192792.79,191.258,192.793,1.535,out
57,5778,5815,192792.79,194060.73,192.793,194.061,1.268,explain
58,5816,5862,194060.73,195628.96,194.061,195.629,1.568,explain
59,5863,6474,195628.96,216049.38,195.629,216.049,20.420,write
60,6475,6557,216049.38,218818.82,216.049,218.819,2.769,explain
61,6558,6602,218818.82,220320.32,218.819,220.320,1.502,out
62,6603,6835,220320.32,228094.76,220.320,228.095,7.774,explain
63,6836,6905,228094.76,230430.43,228.095,230.430,2.336,write
64,6906,6977,230430.43,232832.83,230.430,232.833,2.402,explain
65,6978,7029,232832.83,234567.90,232.833,234.568,1.735,out
66,7030,7225,234567.90,241107.77,234.568,241.108,6.540,explain
67,7226,7549,241107.77,251918.59,241.108,251.919,10.811,write
68,7550,7709,251918.59,257257.26,251.919,257.257,5.339,explain
69,7710,7837,257257.26,261528.19,257.257,261.528,4.271,write
70,7838,7962,261528.19,265699.03,261.528,265.699,4.171,explain
71,7963,8280,265699.03,276309.64,265.699,276.310,10.611,write
72,8281,8333,276309.64,278078.08,276.310,278.078,1.768,explain
73,8334,8441,278078.08,281681.68,278.078,281.682,3.604,out
74,8442,8670,281681.68,289322.66,281.682,289.323,7.641,explain
75,8671,8765,289322.66,292492.49,289.323,292.492,3.170,out
76,8766,8825,292492.49,294494.49,292.492,294.494,2.002,explain
77,8826,9165,294494.49,305839.17,294.494,305.839,11.345,write
78,9166,9254,305839.17,308808.81,305.839,308.809,2.970,explain
79,9255,9310,308808.81,310677.34,308.809,310.677,1.869,out
80,9311,9477,310677.34,316249.58,310.677,316.250,5.572,explain
81,9478,9982,316249.58,333099.77,316.250,333.100,16.850,write
82,9983,10115,333099.77,337537.54,333.100,337.538,4.438,explain
83,10116,10138,337537.54,338304.97,337.538,338.305,0.767,write
84,10139,10223,338304.97,341141.14,338.305,341.141,2.836,explain
85,10224,10283,341141.14,343143.14,341.141,343.143,2.002,out
86,10284,10396,343143.14,346913.58,343.143,346.914,3.770,explain
87,10397,10419,346913.58,347681.01,346.914,347.681,0.767,out
88,10420,10489,347681.01,350016.68,347.681,350.017,2.336,out
89,10490,10582,350016.68,353119.79,350.017,353.120,3.103,explain
90,10583,10646,353119.79,355255.26,353.120,355.255,2.135,out
91,10647,10711,355255.26,357424.09,355.255,357.424,2.169,explain
92,10712,10778,357424.09,359659.66,357.424,359.660,2.236,out
93,10779,10818,359659.66,360994.33,359.660,360.994,1.335,pick_eraser
94,10819,11621,360994.33,387787.79,360.994,387.788,26.793,erase
95,11622,11694,387787.79,390223.56,387.788,390.224,2.436,drop_eraser
96,11695,11727,390223.56,391324.66,390.224,391.325,1.101,explain
97,11728,11770,391324.66,392759.43,391.325,392.759,1.435,out
98,11771,11889,392759.43,396730.06,392.759,396.730,3.971,explain
99,11890,12275,396730.06,409609.61,396.730,409.610,12.880,out
100,12276,12963,409609.61,432565.90,409.610,432.566,22.956,write
101,12964,12986,432565.90,433333.33,432.566,433.333,0.767,explain
102,12987,13121,433333.33,437837.84,433.333,437.838,4.505,out
103,13122,13188,437837.84,440073.41,437.838,440.073,2.236,explain
104,13189,13306,440073.41,444010.68,440.073,444.011,3.937,out
105,13307,13613,444010.68,454254.25,444.011,454.254,10.244,explain
106,13614,13798,454254.25,460427.09,454.254,460.427,6.173,write
107,13799,13852,460427.09,462228.90,460.427,462.229,1.802,explain
108,13853,14018,462228.90,467767.77,462.229,467.768,5.539,out
109,14019,14128,467767.77,471438.10,467.768,471.438,3.670,explain
110,14129,14358,471438.10,479112.45,471.438,479.112,7.674,write
111,14359,14410,479112.45,480847.51,479.112,480.848,1.735,explain
112,14411,14507,480847.51,484084.08,480.848,484.084,3.237,out
113,14508,14591,484084.08,486886.89,484.084,486.887,2.803,write
114,14592,14601,486886.89,487220.55,486.887,487.221,0.334,explain
115,14602,14617,487220.55,487754.42,487.221,487.754,0.534,out
116,14618,14669,487754.42,489489.49,487.754,489.489,1.735,explain
117,14670,14698,489489.49,490457.12,489.489,490.457,0.968,write
118,14699,14746,490457.12,492058.73,490.457,492.059,1.602,explain
119,14747,14815,492058.73,494361.03,492.059,494.361,2.302,out
120,14816,14884,494361.03,496663.33,494.361,496.663,2.302,write
121,14885,15004,496663.33,500667.33,496.663,500.667,4.004,out
122,15005,15103,500667.33,503970.64,500.667,503.971,3.303,explain
123,15104,15107,503970.64,504104.10,503.971,504.104,0.133,write
124,15108,15128,504104.10,504804.80,504.104,504.805,0.701,write
125,15129,15131,504804.80,504904.90,504.805,504.905,0.100,explain
126,15132,15192,504904.90,506940.27,504.905,506.940,2.035,explain
127,15193,15296,506940.27,510410.41,506.940,510.410,3.470,out
128,15297,15384,510410.41,513346.68,510.410,513.347,2.936,explain
129,15385,15449,513346.68,515515.52,513.347,515.516,2.169,write
130,15450,15510,515515.52,517550.88,515.516,517.551,2.035,explain
131,15511,15580,517550.88,519886.55,517.551,519.887,2.336,out
132,15581,15657,519886.55,522455.79,519.887,522.456,2.569,explain
133,15658,16052,522455.79,535635.64,522.456,535.636,13.180,write
134,16053,16053,535635.64,535669.00,535.636,535.669,0.033,write
135,16054,16102,535669.00,537303.97,535.669,537.304,1.635,explain
136,16103,16233,537303.97,541675.01,537.304,541.675,4.371,out
137,16234,16268,541675.01,542842.84,541.675,542.843,1.168,explain
138,16269,16473,542842.84,549683.02,542.843,549.683,6.840,out
