segment_id,start_frame,end_frame,start_time_ms,end_time_ms,start_time_sec,end_time_sec,duration_sec,label,word_count,mean_word_prob,is_silence,transcript
0,0,2105,0.00,70270.27,0.000,70.270,70.270,explain,213,0.866,0,Hola que tal amigas y amigos de youtube bueno pues vamos a hacer ahora un ejercicio correspondiente al tema de estática Específicamente en momento con respecto a un eje y quiero aprovechar para mencionar que este es el vídeo número 300 de este su canal salvador fi y que gracias a ustedes hemos podido llegar a este número de vídeos y claro seguiremos Haciendo muchísimos más entonces vamos a comenzar la primer parte de este ejercicio corresponde a Obtener una fuerza en componentes cartesianos porque únicamente tenemos la fuerza en Terminos de una magnitud sale pero no sabemos de dónde viene ni hacia dónde va entonces primero Momento con respecto a un eje en este caso el eje hace lo que me indica la línea en color verde de el origen Donde es el punto a hasta el punto c entonces esta es la fórmula general para el momento con respecto a un eje además de aplicar un producto cruz Normal r cruce para momento con respecto a un punto ahora además vamos a aplicar un producto punto por el vector unitario De lo que corresponde en este caso al eje de interés aquí tiene a de manera general pero vamos a escribir la fórmula En términos de lo que vamos a obtener
1,2106,2307,70270.27,77010.34,70.270,77.010,6.740,write,21,0.832,0,Entonces vamos a tener el momento con respecto al eje hace que va a ser igual a que a R pero
2,2308,3018,77010.34,100734.07,77.010,100.734,23.724,explain,75,0.838,0,pero cual r esta r representa la distancia desde el origen de acuerdo a nuestro sistema de referencia Hasta el punto de aplicación de nuestra fuerza en este caso se está este se está aplicando Sobre el punto b y debido al origen que tenemos entonces vamos a tener una r que va a ir de a a b sale Porque es desde el origen hasta donde se está aplicando la fuerza ese es r
3,3019,3159,100734.07,105438.77,100.734,105.439,4.705,write,10,0.595,0,r r de a a b Cruz f Claro este
4,3160,3409,105438.77,113780.45,105.439,113.780,8.342,explain,24,0.819,0,este término de manera vectorial entonces primero como vamos a obtener este término en forma de vectorial si solamente tenemos F de manera escalar
5,3410,3591,113780.45,119853.19,113.780,119.853,6.073,write,20,0.937,0,escalar pues vamos a utilizar la definición que nos dice que la fuerza va a ser igual al vector unitario
6,3592,3710,119853.19,123823.82,119.853,123.824,3.971,explain,16,0.862,0,Que en este caso va a ser el vector unitario del punto de al punto b
7,3711,3764,123823.82,125625.63,123.824,125.626,1.802,write,4,0.58,0,b Del punto de
8,3765,3999,125625.63,133466.80,125.626,133.467,7.841,explain,29,0.917,0,de al punto b Multiplicado por la magnitud de la fuerza entonces primero tenemos que encontrar el valor de este vector unitario Entonces cómo lo vamos a tener esto
9,4000,4125,133466.80,137671.00,133.467,137.671,4.204,write,13,0.841,0,esto va a ser igual para obtener solamente el vector unitario de b
10,4126,4194,137671.00,139973.31,137.671,139.973,2.302,explain,7,0.406,0,A b del punto de hacia b
11,4195,4209,139973.31,140473.81,139.973,140.474,0.501,write,2,0.474,0,b vamos
12,4210,4303,140473.81,143610.28,140.474,143.610,3.136,explain,10,0.807,0,vamos a tener dos coordenadas diferentes no la del punto
13,4304,4310,143610.28,143843.84,143.610,143.844,0.234,write,2,0.705,0,punto b
14,4311,4421,143843.84,147547.55,143.844,147.548,3.704,write,13,0.851,0,b que corresponde a 0 en x debido a que no está desplazada
15,4422,4542,147547.55,151584.92,147.548,151.585,4.037,explain,11,0.832,0,desplazada coma Cuántas unidades 10 más 6 más 4 aquí tenemos
16,4543,4579,151584.92,152819.49,151.585,152.819,1.235,write,3,0.992,0,tenemos 20 unidades
17,4580,4649,152819.49,155155.16,152.819,155.155,2.336,explain,10,0.811,0,unidades coma cuántas desplazas a lo largo del eje seta
18,4650,4692,155155.16,156589.92,155.155,156.590,1.435,write,4,0.661,0,seta pues 0 Entonces
19,4693,4878,156589.92,162796.13,156.590,162.796,6.206,explain,23,0.934,0,Entonces solamente vamos a tener una parte para el destino que es hacia donde va a llegar la fuerza y el origen de
20,4879,4887,162796.13,163096.43,162.796,163.096,0.300,write,2,0.981,0,de la
21,4888,5309,163096.43,177177.18,163.096,177.177,14.081,explain,46,0.824,0,la Fuerza que es de donde parte su punto de digamos que es donde se está desde donde se está originando Que en este caso cuáles son las coordenadas en x cuántos está moviendo 5 unidades de acuerdo a este trazo 5 unidades en x 5
22,5310,5338,177177.18,178144.81,177.177,178.145,0.968,write,3,0.793,0,5 unidades Y
23,5339,5470,178144.81,182549.22,178.145,182.549,4.404,explain,15,0.815,0,Y luego coma cuánto en y esta distancia en y hasta este punto 10 unidades
24,5471,5498,182549.22,183483.48,182.549,183.483,0.934,write,4,0.826,0,unidades coma 10 Coma
25,5499,5601,183483.48,186920.25,183.483,186.920,3.437,explain,12,0.901,0,Coma cuántas unidades en zeta aquí tenemos un valor de 15 pies
26,5602,5630,186920.25,187887.89,186.920,187.888,0.968,write,4,0.946,0,pies entonces ya tenemos
27,5631,5720,187887.89,190890.89,187.888,190.891,3.003,explain,10,0.825,0,tenemos las coordenadas Entonces para el vector unitario van a
28,5721,5729,190890.89,191191.19,190.891,191.191,0.300,write,3,0.917,0,a ser las
29,5730,5939,191191.19,198198.20,191.191,198.198,7.007,explain,20,0.865,0,las coordenadas de el destino menos el origen entonces el destino es a donde se está aplicando la fuerza entonces
30,5940,6059,198198.20,202202.20,198.198,202.202,4.004,write,7,0.685,0,entonces 0 coma 20 coma 0 Menos
31,6060,6214,202202.20,207374.04,202.202,207.374,5.172,explain,17,0.94,0,Menos el origen que es de donde se está produciendo la fuerza 5 coma 10 coma 15
32,6215,6315,207374.04,210744.08,207.374,210.744,3.370,write,9,0.906,0,15 5 coma 10 coma 15 y esto dividido
33,6316,6411,210744.08,213947.28,210.744,213.947,3.203,explain,4,0.899,0,dividido entre el Módulo
34,6412,6442,213947.28,214981.65,213.947,214.982,1.034,write,3,0.87,0,Módulo de lo
35,6443,6957,214981.65,232165.50,214.982,232.165,17.184,explain,45,0.876,0,lo que corresponde a la misma diferencia sale la Diferencia de estos términos elevados al cuadrado entonces aquí vamos a tener abajo Una diferencia y vamos a hacer la resta directa de una vez va a ser el El destino menos el origen vamos a
36,6958,7023,232165.50,234367.70,232.165,234.368,2.202,write,7,0.871,0,a tener menos 5 unidades y esto
37,7024,7091,234367.70,236636.64,234.368,236.637,2.269,explain,8,0.982,0,esto elevado al cuadrado sale para el módulo
38,7092,7117,236636.64,237504.17,236.637,237.504,0.868,write,4,0.982,0,módulo y luego más
39,7118,7275,237504.17,242776.11,237.504,242.776,5.272,explain,15,0.923,0,más El destino bueno va a ser el destino menos el origen 20 menos 10
40,7276,7545,242776.11,251785.12,242.776,251.785,9.009,write,28,0.828,0,10 que es igual a 10 vale esto al cuadrado y luego más 0 menos 15 esto da un valor de menos 15 y esto elevado al cuadrado
41,7546,7836,251785.12,261494.83,251.785,261.495,9.710,explain,25,0.811,0,cuadrado sale esto Esto es un pitagorazo no la raíz cuadrada de los términos elevados al cuadrado entonces vamos a obtener esos valores Entonces quiere
42,7837,8499,261494.83,283616.95,261.495,283.617,22.122,write,63,0.755,0,quiere decir que el vector unitario de da be En la parte superior va a ser menos 5 para la componente en y ya poniendo los propiamente en componentes Y luego 20 menos 10 vamos a más 10 en jota segunda componente y luego menos porque va a ser 0 Menos 15 para la componente en ca esto es lo que tenemos y
43,8500,8551,283616.95,285352.02,283.617,285.352,1.735,explain,6,0.906,0,y esto dividido entre este resultado
44,8552,8885,285352.02,296496.50,285.352,296.496,11.144,calculate,33,0.84,0,resultado Entonces va a ser menos 5 al cuadrado más 10 al cuadrado más menos 15 al cuadrado y luego a esto le sacamos raíz Esto es igual a 18 punto 7 redondeado
45,8886,8965,296496.50,299165.83,296.496,299.166,2.669,write,6,0.666,0,redondeado a dos decimales 18 .7
46,8966,9170,299165.83,306006.01,299.166,306.006,6.840,explain,22,0.826,0,.7 es 0 8 pero vamos a dejarlo con una decimal sale entonces ya que tenemos esto cada uno de estos términos
47,9171,9264,306006.01,309142.48,306.006,309.142,3.136,write,5,0.865,0,Dividido entre dicho valor entonces
48,9265,9287,309142.48,309909.91,309.142,309.910,0.767,explain,5,0.84,0,entonces esto va que va
49,9288,9484,309909.91,316483.15,309.910,316.483,6.573,calculate,17,0.873,0,va a ser igual a 5 Entre 18 .7 el primer término de la componente ni es
50,9485,9606,316483.15,320553.89,316.483,320.554,4.071,write,7,0.896,0,es de 0 .26 73 vamos a
51,9607,9702,320553.89,323757.09,320.554,323.757,3.203,explain,8,0.812,0,a dejarlo con tres decimales nada más Entonces
52,9703,9912,323757.09,330764.10,323.757,330.764,7.007,write,24,0.717,0,Entonces esta es la componente ni Con signo negativo por esta parte que tenemos al en menos 5 y luego más aquí tenemos un
53,9913,9965,330764.10,332532.53,330.764,332.533,1.768,explain,5,0.967,0,un signo positivo 10 entre
54,9966,10223,332532.53,341141.14,332.533,341.141,8.609,calculate,19,0.911,0,entre 18 .7 Entre 18 .7 y tenemos este valor que es de 0 .53 47 vamos a redondear
55,10224,10536,341141.14,351584.92,341.141,351.585,10.444,write,30,0.807,0,redondear la dos decimal y se vamos a tener 0 .53 5 sale este es un 5 Bueno y esta la componente en jota y luego para acá tenemos una
56,10537,10566,351584.92,352585.92,351.585,352.586,1.001,explain,3,0.995,0,una componente negativa
57,10567,10688,352585.92,356656.66,352.586,356.657,4.071,calculate,10,0.748,0,negativa 15 entre 18 .7 este valor es igual a
58,10689,10710,356656.66,357390.72,356.657,357.391,0.734,write,2,0.93,0,a 0
59,10711,10805,357390.72,360560.56,357.391,360.561,3.170,explain,7,0.687,0,0 .80 21 Entonces vamos a dejar
60,10806,10912,360560.56,364130.80,360.561,364.131,3.570,write,9,0.818,0,dejar únicamente como 82 sale esta es la componente
61,10913,11003,364130.80,367167.17,364.131,367.167,3.036,explain,14,0.793,0,componente en k ya tenemos el vector unitario entonces lo que tenemos Que hacer
62,11004,11843,367167.17,395195.20,367.167,395.195,28.028,write,62,0.848,0,hacer para encontrar la fuerza en componentes cartesianos es multiplicar el vector unitario que es precisamente este menos 0 .26 7 en y más 0 .53 25 en jota menos 0 .802 en k y esto por la magnitud de la fuerza que en este caso son 80 libras sale 80 libras Y vamos a obtener este valor entonces el valor de
63,11844,11858,395195.20,395695.70,395.195,395.696,0.501,explain,3,0.987,0,de esta fuerza
64,11859,12189,395695.70,406740.07,395.696,406.740,11.044,calculate,23,0.759,0,fuerza es de menos 0 .60 a punto menos 0 .26 7 por 80 para la componente ni y vamos a tener Menos
65,12190,12311,406740.07,410810.81,406.740,410.811,4.071,write,9,0.644,0,Menos 21 .36 en la componente ni y luego
66,12312,12325,410810.81,411277.94,410.811,411.278,0.467,explain,2,0.737,0,luego más
67,12326,12537,411277.94,418351.69,411.278,418.352,7.074,calculate,18,0.879,0,más 0 .535 por el valor de la magnitud de la fuerza y este valor es de 42
68,12538,12630,418351.69,421454.79,418.352,421.455,3.103,write,6,0.815,0,42 .8 42 .8 en jota
69,12631,12661,421454.79,422489.16,421.455,422.489,1.034,explain,5,0.796,0,jota y luego menos esta
70,12662,12851,422489.16,428828.83,422.489,428.829,6.340,calculate,12,0.847,0,esta parte que es punto 82 por 80 este valor es de
71,12852,12990,428828.83,433466.80,428.829,433.467,4.638,write,9,0.666,0,de 64 .16 Y para la componente en k
72,12991,13341,433466.80,445178.51,433.467,445.179,11.712,explain,41,0.811,0,k ya lo tenemos entonces la fuerza ya tenemos el valor de la fuerza y r Cuál es la de la magnitud de la dirección de r bueno pues para r vamos a tener lo siguiente vamos a anotarlo aquí abajito
73,13342,13440,445178.51,448481.82,445.179,448.482,3.303,write,6,0.558,0,abajito r de a b Pues
74,13441,13875,448481.82,462996.33,448.482,462.996,14.515,explain,52,0.859,0,Pues es la distancia desde el origen hasta el punto de aplicación de la fuerza cuando se mueve en x 0 0 porque está en este punto cuando se mueve en y porque es el punto de aplicación de la fuerza el punto b Tenemos 20 unidades no entonces van a ser
75,13876,13929,462996.33,464798.13,462.996,464.798,1.802,write,6,0.882,0,ser 20 unidades en la componente
76,13930,14598,464798.13,487120.45,464.798,487.120,22.322,explain,67,0.837,0,componente en j y positivas porque van sobre el eje hacia z pues tampoco tenemos una una elevación entonces únicamente 20 j positivo entonces ya podemos hacer el primer producto cruz en este caso no Pero vamos a hacer vamos a hacer todo junto y primero vamos a tener entonces la parte correspondiente al vector unitario Que en este caso a corresponde al eje en este caso
77,14599,14899,487120.45,497163.83,487.120,497.164,10.043,write,30,0.864,0,caso sería producto punto el vector unitario de donde a donde de a a c Que va desde a hasta c y luego todo esto lo vamos a multiplicar nuevamente
78,14900,15009,497163.83,500834.17,497.164,500.834,3.670,explain,8,0.847,0,nuevamente una simple multiplicación nada nada vectorial Otra
79,15010,15040,500834.17,501868.54,500.834,501.869,1.034,write,4,0.85,0,Otra vez de a
80,15041,15217,501868.54,507774.44,501.869,507.774,5.906,explain,20,0.847,0,a a c entonces tenemos que encontrar ese vector unitario Este vector unitario cuánto va a valer vamos a ver
81,15218,15315,507774.44,511044.38,507.774,511.044,3.270,write,9,0.825,0,ver el vector unitario de a a c De
82,15316,15659,511044.38,522522.52,511.044,522.523,11.478,explain,36,0.82,0,"De acuerdo a las coordenadas ya dijimos el destino menos el origen la ventaja de aquí es que como le vamos a restar el origen el origen es 0 ,0 ,0 no entonces el origen desde"
83,15660,15674,522522.52,523023.02,522.523,523.023,0.501,write,2,0.494,0,desde desde
84,15675,15975,523023.02,533066.40,523.023,533.066,10.043,explain,34,0.907,0,desde donde tenemos Nuestro eje de interés con el cual vamos a hacer el análisis para el momento con respecto a un eje Entonces vamos a tener el destino que son estas coordenadas del
85,15976,15983,533066.40,533333.33,533.066,533.333,0.267,write,2,0.929,0,del punto
86,15984,16100,533333.33,537237.24,533.333,537.237,3.904,explain,13,0.669,0,punto c anotemos las Cuanto se recorren x 8 más 5 son 13
87,16101,16156,537237.24,539105.77,537.237,539.106,1.869,write,5,0.852,0,13 unidades no 13 unidades
88,16157,16242,539105.77,541975.31,539.106,541.975,2.870,explain,8,0.445,0,unidades coma Cuanto en y 10 más 6
89,16243,16261,541975.31,542609.28,541.975,542.609,0.634,write,3,0.828,0,6 son 16
90,16262,16449,542609.28,548882.22,542.609,548.882,6.273,explain,22,0.856,0,16 y luego en k cuánto pues nada porque está sobre el plano x y Entonces no se eleva por lo tanto
91,16450,16476,548882.22,549783.12,548.882,549.783,0.901,write,3,0.979,0,tanto la componente
92,16477,16574,549783.12,553053.05,549.783,553.053,3.270,explain,12,0.774,0,componente en z es 0 Entonces es el destino menos el origen
93,16575,16645,553053.05,555422.09,553.053,555.422,2.369,write,7,0.828,0,"origen donde a es 0 ,0 ,0"
94,16646,16758,555422.09,559192.53,555.422,559.193,3.770,explain,12,0.91,0,",0 Entonces ya ni siquiera tiene caso únicamente vamos a poner los"
95,16759,16999,559192.53,567233.90,559.193,567.234,8.041,write,17,0.808,0,los componentes 13 en y más 16 en j a ambos valores positivos y esto Dividido entre
96,17000,17197,567233.90,573840.51,567.234,573.841,6.607,explain,19,0.881,0,entre el módulo lo que es lo mismo la raíz cuadrada de estos elevados al cuadrado un pitagoras entonces
97,17198,17419,573840.51,581247.91,573.841,581.248,7.407,write,6,0.87,0,13 al cuadrado más 16 16
98,17420,17491,581247.91,583650.32,581.248,583.650,2.402,fingererase,2,0.854,0,16 al
99,17492,17533,583650.32,585051.72,583.650,585.052,1.401,write,4,0.738,0,al cuadrado sale Entonces
100,17534,17577,585051.72,586519.85,585.052,586.520,1.468,explain,6,0.84,0,Entonces vamos a hacer esto con
101,17578,17651,586519.85,588988.99,586.520,588.989,2.469,point,9,0.986,0,con la calculadora y vamos a obtener el valor
102,17652,17916,588988.99,597831.16,588.989,597.831,8.842,write,21,0.826,0,valor de el vector unitario de hace Entonces vamos a anotar ya de manera separada el valor de 13 y y
103,17917,17941,597831.16,598665.33,597.831,598.665,0.834,explain,4,0.793,0,y esto entre este
104,17942,18354,598665.33,612445.78,598.665,612.446,13.780,calculate,28,0.861,0,este valor no que es la raíz cuadrada de 13 al cuadrado más 16 al cuadrado este valor me da de 20 puntos 61 55 vamos a dejarlo
105,18355,18670,612445.78,622989.66,612.446,622.990,10.544,write,31,0.853,0,dejarlo en 20 punto 62 vale redondeado a dos decimales y luego más la componente en j que son los 16 sobre exactamente el mismo valor y esto en la componente
106,18671,18757,622989.66,625892.56,622.990,625.893,2.903,explain,11,0.713,0,componente en j ya está entonces ahora sí el vector unitario
107,18758,18845,625892.56,628828.83,625.893,628.829,2.936,write,6,0.875,0,unitario de a a c esto
108,18846,18862,628828.83,629396.06,628.829,629.396,0.567,explain,3,0.841,0,esto aquí es
109,18863,19011,629396.06,634367.70,629.396,634.368,4.972,calculate,13,0.863,0,es igual a 13 entre 20 puntos 62 que esto es igual a
110,19012,19183,634367.70,640106.77,634.368,640.107,5.739,write,12,0.84,0,0 .63 redondeado a dos decimales únicamente y esto la componente ni
111,19184,19212,640106.77,641074.41,640.107,641.074,0.968,explain,4,0.791,0,ni positiva y luego
112,19213,19329,641074.41,644978.31,641.074,644.978,3.904,calculate,12,0.964,0,luego más 16 entre 20 puntos 62 que esto es igual a
113,19330,19463,644978.31,649449.45,644.978,649.449,4.471,explain,10,0.867,0,a 0 .77 59 vamos a redondearlo a dos decimales
114,19464,19604,649449.45,654154.15,649.449,654.154,4.705,write,16,0.778,0,decimales y vamos a tener 0 .78 vale y esto en la componente en j ya
115,19605,19615,654154.15,654521.19,654.154,654.521,0.367,emphasize,2,0.599,0,ya tenemos
116,19616,19962,654521.19,666099.43,654.521,666.099,11.578,explain,34,0.844,0,tenemos el vector unitario de hace ya tenemos la fuerza ya tenemos rd a b entonces vamos a únicamente sustituir valores y aplicar las operaciones vectoriales que se nos indican entonces vamos a comenzar
117,19963,20028,666099.43,668301.63,666.099,668.302,2.202,pickerase,10,0.953,0,comenzar voy a borrar en la parte superior donde encontramos
118,20029,20114,668301.63,671171.17,668.302,671.171,2.870,erase,8,0.95,0,encontramos el primer vector unitario vale vamos a
119,20115,20164,671171.17,672839.51,671.171,672.840,1.668,droperase,4,0.992,0,a comenzar parte por
120,20165,20256,672839.51,675909.24,672.840,675.909,3.070,explain,6,0.961,0,por parte primero el producto cruz
121,20257,20572,675909.24,686453.12,675.909,686.453,10.544,write,20,0.697,0,rd a b cruz f ambos en términos vectoriales entonces esto corresponde en determinante y j y k la componente
122,20573,20707,686453.12,690957.62,686.453,690.958,4.505,explain,16,0.901,0,componente primero r vamos a poner los valores de r solamente hay componente en j entonces
123,20708,20815,690957.62,694561.23,690.958,694.561,3.604,write,14,0.761,0,entonces vamos a tener 0 y 0 para y para acá entonces solamente tenemos
124,20816,20983,694561.23,700166.83,694.561,700.167,5.606,explain,16,0.926,0,tenemos 20 positivos ahora vamos con la fuerza aquí están los componentes de la fuerza tenemos
125,20984,21303,700166.83,710844.18,700.167,710.844,10.677,write,19,0.702,0,menos 21 punto 36 para y luego para j tenemos 142 .8 y luego para k menos 64 .16
126,21304,21367,710844.18,712979.65,710.844,712.980,2.135,explain,5,0.868,0,.16 entonces vamos a aplicar
127,21368,21381,712979.65,713446.78,712.980,713.447,0.467,pickerase,3,0.918,0,aplicar ese producto
128,21382,21511,713446.78,717784.45,713.447,717.784,4.338,explain,17,0.955,0,producto cruz entonces hasta aquí voy a borrar hasta aquí porque ya notamos los valores de la
129,21512,21545,717784.45,718918.92,717.784,718.919,1.134,pickerase,3,0.906,0,la fuerza y
130,21546,21640,718918.92,722088.76,718.919,722.089,3.170,erase,9,0.895,0,y vamos a ver qué nos da como resultado
131,21641,21669,722088.76,723056.39,722.089,723.056,0.968,droperase,2,0.746,0,vale entonces
132,21670,21727,723056.39,724991.66,723.056,724.992,1.935,explain,5,0.89,0,entonces nuevamente lo anoto por
133,21728,21846,724991.66,728962.30,724.992,728.962,3.971,write,9,0.677,0,por acá rd a b cruz f producto cruz
134,21847,21885,728962.30,730263.60,728.962,730.264,1.301,explain,2,0.963,0,cruz entonces
135,21886,21902,730263.60,730830.83,730.264,730.831,0.567,calculate,3,0.968,0,entonces vamos a
136,21903,22154,730830.83,739239.24,730.831,739.239,8.408,explain,21,0.749,0,a analizarlo rápidamente vamos a tener para y 20 por menos 64 .16 no entonces tendremos vamos a hacer el cálculo
137,22155,22341,739239.24,745478.81,739.239,745.479,6.240,calculate,11,0.916,0,cálculo directo 20 por menos 64 .16 esto da de menos
138,22342,22615,745478.81,754621.29,745.479,754.621,9.142,explain,26,0.891,0,menos 1283 es este por este menos este por este pero esta multiplicación este por este da 0 por el 0 que tenemos acá entonces este
