segment_id,start_frame,end_frame,start_time_ms,end_time_ms,start_time_sec,end_time_sec,duration_sec,label
0,0,2105,0.00,70270.27,0.000,70.270,70.270,explain
1,2106,2307,70270.27,77010.34,70.270,77.010,6.740,write
2,2308,3018,77010.34,100734.07,77.010,100.734,23.724,explain
3,3019,3159,100734.07,105438.77,100.734,105.439,4.705,write
4,3160,3409,105438.77,113780.45,105.439,113.780,8.342,explain
5,3410,3591,113780.45,119853.19,113.780,119.853,6.073,write
6,3592,3710,119853.19,123823.82,119.853,123.824,3.971,explain
7,3711,3764,123823.82,125625.63,123.824,125.626,1.802,write
8,3765,3999,125625.63,133466.80,125.626,133.467,7.841,explain
9,4000,4125,133466.80,137671.00,133.467,137.671,4.204,write
10,4126,4194,137671.00,139973.31,137.671,139.973,2.302,explain
11,4195,4209,139973.31,140473.81,139.973,140.474,0.501,write
12,4210,4303,140473.81,143610.28,140.474,143.610,3.136,explain
13,4304,4310,143610.28,143843.84,143.610,143.844,0.234,write
14,4311,4421,143843.84,147547.55,143.844,147.548,3.704,write
15,4422,4542,147547.55,151584.92,147.548,151.585,4.037,explain
16,4543,4579,151584.92,152819.49,151.585,152.819,1.235,write
17,4580,4649,152819.49,155155.16,152.819,155.155,2.336,explain
18,4650,4692,155155.16,156589.92,155.155,156.590,1.435,write
19,4693,4878,156589.92,162796.13,156.590,162.796,6.206,explain
20,4879,4887,162796.13,163096.43,162.796,163.096,0.300,write
21,4888,5309,163096.43,177177.18,163.096,177.177,14.081,explain
22,5310,5338,177177.18,178144.81,177.177,178.145,0.968,write
23,5339,5470,178144.81,182549.22,178.145,182.549,4.404,explain
24,5471,5498,182549.22,183483.48,182.549,183.483,0.934,write
25,5499,5601,183483.48,186920.25,183.483,186.920,3.437,explain
26,5602,5630,186920.25,187887.89,186.920,187.888,0.968,write
27,5631,5720,187887.89,190890.89,187.888,190.891,3.003,explain
28,5721,5729,190890.89,191191.19,190.891,191.191,0.300,write
29,5730,5939,191191.19,198198.20,191.191,198.198,7.007,explain
30,5940,6059,198198.20,202202.20,198.198,202.202,4.004,write
31,6060,6214,202202.20,207374.04,202.202,207.374,5.172,explain
32,6215,6315,207374.04,210744.08,207.374,210.744,3.370,write
33,6316,6411,210744.08,213947.28,210.744,213.947,3.203,explain
34,6412,6442,213947.28,214981.65,213.947,214.982,1.034,write
35,6443,6957,214981.65,232165.50,214.982,232.165,17.184,explain
36,6958,7023,232165.50,234367.70,232.165,234.368,2.202,write
37,7024,7091,234367.70,236636.64,234.368,236.637,2.269,explain
38,7092,7117,236636.64,237504.17,236.637,237.504,0.868,write
39,7118,7275,237504.17,242776.11,237.504,242.776,5.272,explain
40,7276,7545,242776.11,251785.12,242.776,251.785,9.009,write
41,7546,7836,251785.12,261494.83,251.785,261.495,9.710,explain
42,7837,8499,261494.83,283616.95,261.495,283.617,22.122,write
43,8500,8551,283616.95,285352.02,283.617,285.352,1.735,explain
44,8552,8885,285352.02,296496.50,285.352,296.496,11.144,calculate
45,8886,8965,296496.50,299165.83,296.496,299.166,2.669,write
46,8966,9170,299165.83,306006.01,299.166,306.006,6.840,explain
47,9171,9264,306006.01,309142.48,306.006,309.142,3.136,write
48,9265,9287,309142.48,309909.91,309.142,309.910,0.767,explain
49,9288,9484,309909.91,316483.15,309.910,316.483,6.573,calculate
50,9485,9606,316483.15,320553.89,316.483,320.554,4.071,write
51,9607,9702,320553.89,323757.09,320.554,323.757,3.203,explain
52,9703,9912,323757.09,330764.10,323.757,330.764,7.007,write
53,9913,9965,330764.10,332532.53,330.764,332.533,1.768,explain
54,9966,10223,332532.53,341141.14,332.533,341.141,8.609,calculate
55,10224,10536,341141.14,351584.92,341.141,351.585,10.444,write
56,10537,10566,351584.92,352585.92,351.585,352.586,1.001,explain
57,10567,10688,352585.92,356656.66,352.586,356.657,4.071,calculate
58,10689,10710,356656.66,357390.72,356.657,357.391,0.734,write
59,10711,10805,357390.72,360560.56,357.391,360.561,3.170,explain
60,10806,10912,360560.56,364130.80,360.561,364.131,3.570,write
61,10913,11003,364130.80,367167.17,364.131,367.167,3.036,explain
62,11004,11843,367167.17,395195.20,367.167,395.195,28.028,write
63,11844,11858,395195.20,395695.70,395.195,395.696,0.501,explain
64,11859,12189,395695.70,406740.07,395.696,406.740,11.044,calculate
65,12190,12311,406740.07,410810.81,406.740,410.811,4.071,write
66,12312,12325,410810.81,411277.94,410.811,411.278,0.467,explain
67,12326,12537,411277.94,418351.69,411.278,418.352,7.074,calculate
68,12538,12630,418351.69,421454.79,418.352,421.455,3.103,write
